metric_type,sensor_type,px,py,vx,vy,ro,phi,ro_dot
update,radar,-3.041072,6.033572,-1.495352,-4.562422,6.756634,2.037659,-3.401135
prediction,none,-3.181044,5.763514,-1.622492,-4.742912,0,0,0
prediction,none,-3.281323,5.480084,-1.680870,-4.836283,0,0,0
update,radar,-3.281323,5.480084,-1.680870,-4.836283,6.387363,2.110313,-3.285826
prediction,none,-3.392915,5.238170,-1.801775,-4.760042,0,0,0
prediction,none,-3.506412,4.969550,-1.866272,-4.829313,0,0,0
update,radar,-3.506412,4.969550,-1.866272,-4.829313,6.082051,2.185257,-2.870017
prediction,none,-3.567940,4.714440,-1.734304,-4.926188,0,0,0
prediction,none,-3.708906,4.415869,-1.877264,-5.057146,0,0,0
update,radar,-3.708906,4.415869,-1.877264,-5.057146,5.766791,2.269400,-2.665104
prediction,none,-3.814051,4.172978,-1.970768,-4.961028,0,0,0
prediction,none,-3.975041,3.879489,-2.127487,-5.088145,0,0,0
